school_code,school_name,postcode,town_suburb,operational_directorate,principal_network,class_type
2867,Picton Public School,2571,Picton ,Ultimo,Wollondilly,Supporting students with moderate intellectual disability (IO)
2887,Plumpton Public School,2761,Plumpton ,Macquarie Park,Eastern Creek,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2899,Port Macquarie Public School,2444,Port Macquarie ,Tamworth,Hastings,Supporting students with mild intellectual disability (IM)
2899,Port Macquarie Public School,2444,Port Macquarie ,Tamworth,Hastings,Supporting students with autism and/or moderate intellectual disability (IO/Au)
2899,Port Macquarie Public School,2444,Port Macquarie ,Tamworth,Hastings,Supporting students with moderate and students with severe intellectual disability (IO/IS)
2899,Port Macquarie Public School,2444,Port Macquarie ,Tamworth,Hastings,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2958,Revesby Public School,2212,Revesby ,Ultimo,Bankstown,Supporting students with autism (Au)
2958,Revesby Public School,2212,Revesby ,Ultimo,Bankstown,Supporting students with moderate intellectual disability (IO)
2958,Revesby Public School,2212,Revesby ,Ultimo,Bankstown,Supporting students with mild intellectual disability (IM)
2970,Riverstone Public School,2765,Riverstone,Macquarie Park,The Ponds,Supporting students with mild intellectual disability (IM)
2970,Riverstone Public School,2765,Riverstone,Macquarie Park,The Ponds,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3008,Rouse Hill Public School,2155,Rouse Hill ,Macquarie Park,The Ponds,Supporting students with autism (Au)
3008,Rouse Hill Public School,2155,Rouse Hill ,Macquarie Park,The Ponds,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3157,Tamworth Public School,2340,Tamworth ,Tamworth,Peel,Supporting students with mild intellectual disability (IM)
3157,Tamworth Public School,2340,Tamworth ,Tamworth,Peel,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3247,Toronto Public School,2283,Toronto ,Tamworth,Lake Macquarie West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3247,Toronto Public School,2283,Toronto ,Tamworth,Lake Macquarie West,Supporting students with disability prior to school (EI Early Intervention)
3325,Vaucluse Public School,2030,Vaucluse ,Ultimo,Bondi,Supporting students with moderate intellectual disability (IO)
3325,Vaucluse Public School,2030,Vaucluse ,Ultimo,Bondi,Supporting students with autism (Au)
3342,Walgett Community College - Primary School,2832,Walgett ,Wagga Wagga,Western Plains,Supporting students with behavioural issues (BD)
3423,Wentworthville Public School,2145,Wentworthville,Macquarie Park,Girraween,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3449,Willoughby Public School,2068,Willoughby,Macquarie Park,North Sydney,Supporting students with mild intellectual disability (IM)
3453,Athelstane Public School,2205,Arncliffe ,Ultimo,Beverly Hills,Supporting students with mild intellectual disability (IM)
3453,Athelstane Public School,2205,Arncliffe ,Ultimo,Beverly Hills,Supporting students with moderate intellectual disability (IO)
3563,Young Public School,2594,Young ,Wagga Wagga,Temora,Supporting students with moderate and students with severe intellectual disability (IO/IS)
3563,Young Public School,2594,Young ,Wagga Wagga,Temora,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3591,Dubbo West Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with mild intellectual disability (IM)
3795,Hamilton South Public School,2291,Merewether ,Tamworth,Newcastle,Supporting students with moderate and students with severe intellectual disability (IO/IS)
3795,Hamilton South Public School,2291,Merewether ,Tamworth,Newcastle,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3831,Chalmers Road School,2135,Strathfield ,Ultimo,Strathfield,Supporting students with moderate and students with severe intellectual disability (IO/IS)
3866,Towradgi Public School,2519,Fairy Meadow,Wagga Wagga,Wollongong,Supporting students with moderate intellectual disability (IO)
3866,Towradgi Public School,2519,Fairy Meadow,Wagga Wagga,Wollongong,Supporting students with disability prior to school (EI Early Intervention)
3866,Towradgi Public School,2519,Fairy Meadow,Wagga Wagga,Wollongong,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3886,McCallums Hill Public School,2196,Roselands,Ultimo,Beverly Hills,Supporting students with autism (Au)
3886,McCallums Hill Public School,2196,Roselands,Ultimo,Beverly Hills,Supporting students with autism and/or moderate intellectual disability (IO/Au)
3922,Albury North Public School,2640,Albury ,Wagga Wagga,Albury,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3924,East Hills Public School,2213,Panania ,Ultimo,Chipping Norton,Supporting students with autism (Au)
3939,Mount Hutton Public School,2290,Mount Hutton ,Tamworth,Glenrock,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3964,Figtree Public School,2525,,Wagga Wagga,Lake Illawarra North,Supporting students with moderate and students with severe intellectual disability (IO/IS)
3968,Speers Point Public School,2284,Speers Point ,Tamworth,Lake Macquarie West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3968,Speers Point Public School,2284,Speers Point ,Tamworth,Lake Macquarie West,Supporting students with moderate and students with severe intellectual disability (IO/IS)
3993,Pendle Hill Public School,2145,Wentworthville,Macquarie Park,Girraween,Supporting students with disability prior to school (EI Early Intervention)
2943,Raymond Terrace Public School,2324,Raymond Terrace ,Tamworth,Port Stephens,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
2999,Rossmore Public School,2171,Rossmore ,Ultimo,Macarthur,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3029,St Johns Park Public School,2176,St Johns Park ,Ultimo,Cowpasture,Supporting students with mild intellectual disability (IM)
3029,St Johns Park Public School,2176,St Johns Park ,Ultimo,Cowpasture,Supporting students with autism (Au)
3029,St Johns Park Public School,2176,St Johns Park ,Ultimo,Cowpasture,Supporting students with autism and/or moderate intellectual disability (IO/Au)
3070,Singleton Public School,2330,Singleton ,Tamworth,Upper Hunter,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3167,Taree Public School,2430,Taree ,Tamworth,Taree,Supporting students with mild intellectual disability (IM)
3180,Tenambit Public School,2323,Tenambit ,Tamworth,Maitland,Supporting students who are deaf or hearing impaired (H)
3180,Tenambit Public School,2323,Tenambit ,Tamworth,Maitland,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3182,The Sir Henry Parkes Memorial Public School,2372,Tenterfield,Tamworth,Northern Tablelands,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3191,Terrigal Public School,2260,Terrigal ,Macquarie Park,Brisbane Water,Supporting students with moderate and students with severe intellectual disability (IO/IS)
3191,Terrigal Public School,2260,Terrigal ,Macquarie Park,Brisbane Water,Supporting students with autism (Au)
3302,Ulladulla Public School,2539,Ulladulla ,Wagga Wagga,South Coast,Supporting students with mild intellectual disability (IM)
3302,Ulladulla Public School,2539,Ulladulla ,Wagga Wagga,South Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3302,Ulladulla Public School,2539,Ulladulla ,Wagga Wagga,South Coast,Supporting students with mental health issues (ED Emotional Disturbance)
3377,Waratah Public School,2298,Waratah,Tamworth,Callaghan,Supporting students with disability prior to school (EI Early Intervention)
3377,Waratah Public School,2298,Waratah,Tamworth,Callaghan,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3390,Warrawee Public School,2074,Turramurra,Macquarie Park,Hornsby,Supporting students with autism (Au)
3390,Warrawee Public School,2074,Turramurra,Macquarie Park,Hornsby,Supporting students with moderate intellectual disability (IO)
3428,Westdale Public School,2340,Westdale ,Tamworth,Peel,Supporting students with behavioural issues (BD)
3690,Oxley Vale Public School,2340,Tamworth,Tamworth,Peel,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3869,Yagoona Public School,2199,Yagoona ,Ultimo,Chullora,Supporting students with autism (Au)
3869,Yagoona Public School,2199,Yagoona ,Ultimo,Chullora,Supporting students with mental health issues (ED Emotional Disturbance)
3869,Yagoona Public School,2199,Yagoona ,Ultimo,Chullora,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3876,Muswellbrook South Public School,2333,Muswellbrook ,Tamworth,Upper Hunter,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3876,Muswellbrook South Public School,2333,Muswellbrook ,Tamworth,Upper Hunter,Supporting students with mental health issues (ED Emotional Disturbance)
3876,Muswellbrook South Public School,2333,Muswellbrook ,Tamworth,Upper Hunter,Supporting students with mild intellectual disability (IM)
3949,Maitland Public School,2320,Maitland,Tamworth,Maitland,Supporting students with mild intellectual disability (IM)
3951,Marrickville West Public School,2204,Marrickville ,Ultimo,Marrickville,Supporting students with autism (Au)
3960,Waniora Public School,2516,Bulli ,Wagga Wagga,Wollongong North,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
3976,Farmborough Road Public School,2526,Unanderra ,Wagga Wagga,Lake Illawarra North,Supporting students with autism (Au)
3976,Farmborough Road Public School,2526,Unanderra ,Wagga Wagga,Lake Illawarra North,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4000,Guildford West Public School,2161,Guildford West ,Macquarie Park,Parramatta,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4060,Cambridge Park Public School,2747,Cambridge Park ,Macquarie Park,Cambridge Park,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4060,Cambridge Park Public School,2747,Cambridge Park ,Macquarie Park,Cambridge Park,Supporting students with mild intellectual disability (IM)
4075,Kirrawee Public School,2232,Kirrawee ,Ultimo,Sutherland,Supporting students with moderate intellectual disability (IO)
4075,Kirrawee Public School,2232,Kirrawee ,Ultimo,Sutherland,Supporting students with mild intellectual disability (IM)
4085,Lismore Heights Public School,2480,Lismore Heights ,Tamworth,Lismore,Supporting students with mild intellectual disability (IM)
4085,Lismore Heights Public School,2480,Lismore Heights ,Tamworth,Lismore,Supporting students with mental health issues (ED Emotional Disturbance)
4126,Campbelltown North Public School,2560,Campbelltown ,Ultimo,Campbelltown,Supporting students with mild intellectual disability (IM)
